person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Constable Charles K. Baker,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department, CA
Deputy Charles T. Daly,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department, CA
Constable William H. Little,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department, CA
Sheriff James M. Land,"Estill County Sheriff's Department, KY","EOW: Sunday, March 22, 1857",Cause of Death: Gunfire,Gunfire,1857-03-22,1857,FALSE,Estill County Sheriff's Department, KY
Deputy Sheriff Jessie Arvin,"Estill County Sheriff's Department, KY","EOW: Sunday, March 22, 1857",Cause of Death: Gunfire,Gunfire,1857-03-22,1857,FALSE,Estill County Sheriff's Department, KY
Patrolman Stephen P. Hardenbrook,"New York Municipal Police Force, NY","EOW: Wednesday, April 15, 1857",Cause of Death: Stabbed,Stabbed,1857-04-15,1857,FALSE,New York Municipal Police Force, NY
Deputized Civilian William B.M. Barbee,"Burleson County Constable's Office - Precinct 3, TX","EOW: Sunday, May 24, 1857",Cause of Death: Gunfire,Gunfire,1857-05-24,1857,FALSE,Burleson County Constable's Office - Precinct 3, TX
Assistant City Marshal Frederick W. Fieldstrup,"San Antonio Police Department, TX","EOW: Friday, May 29, 1857",Cause of Death: Gunfire,Gunfire,1857-05-29,1857,FALSE,San Antonio Police Department, TX
Special Patrolman Thomas Sparks,"New York Metropolitan Police Force, NY","EOW: Thursday, July 9, 1857",Cause of Death: Assault,Assault,1857-07-09,1857,FALSE,New York Metropolitan Police Force, NY
Patrolman Eugene Anderson,"New York Metropolitan Police Force, NY","EOW: Monday, July 20, 1857",Cause of Death: Gunfire,Gunfire,1857-07-20,1857,FALSE,New York Metropolitan Police Force, NY
Sergeant William Jourdan,"Baltimore City Police Department, MD","EOW: Wednesday, October 14, 1857",Cause of Death: Gunfire,Gunfire,1857-10-14,1857,FALSE,Baltimore City Police Department, MD
Patrolman Ezekiel Wentworth Hodsdon,"Boston Police Department, MA","EOW: Sunday, October 18, 1857",Cause of Death: Gunfire,Gunfire,1857-10-18,1857,FALSE,Boston Police Department, MA
Patrolman Horatio Sanger,"New York Metropolitan Police Force, NY","EOW: Sunday, November 22, 1857",Cause of Death: Assault,Assault,1857-11-22,1857,FALSE,New York Metropolitan Police Force, NY
Sheriff William C. Getman,"Los Angeles County Sheriff's Department, CA","EOW: Thursday, January 7, 1858",Cause of Death: Gunfire,Gunfire,1858-01-07,1858,FALSE,Los Angeles County Sheriff's Department, CA
Sheriff Samuel Lee Lockhart,"Llano County Sheriff's Office, TX","EOW: Saturday, January 9, 1858",Cause of Death: Stabbed,Stabbed,1858-01-09,1858,FALSE,Llano County Sheriff's Office, TX
Special Police Officer George C. Chapman,"Sacramento Police Department, CA","EOW: Tuesday, April 27, 1858",Cause of Death: Gunfire,Gunfire,1858-04-27,1858,FALSE,Sacramento Police Department, CA
Private William Earbee,"Texas Rangers, TX","EOW: Wednesday, May 5, 1858",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1858-05-05,1858,FALSE,Texas Rangers, TX
Private Robert Nickles,"Texas Rangers, TX","EOW: Wednesday, May 12, 1858",Cause of Death: Stabbed,Stabbed,1858-05-12,1858,FALSE,Texas Rangers, TX
Private Waco Indian,"Texas Rangers, TX","EOW: Wednesday, May 12, 1858",Cause of Death: Gunfire,Gunfire,1858-05-12,1858,FALSE,Texas Rangers, TX
City Marshal Joseph Beard,"Lexington Police Department, KY","EOW: Saturday, July 10, 1858",Cause of Death: Stabbed,Stabbed,1858-07-10,1858,FALSE,Lexington Police Department, KY
Deputy Sheriff Travis Gibson,"Campbell County Sheriff's Office, TN","EOW: Tuesday, August 3, 1858",Cause of Death: Stabbed,Stabbed,1858-08-03,1858,FALSE,Campbell County Sheriff's Office, TN
Sheriff Sampson D. Queener,"Campbell County Sheriff's Office, TN","EOW: Tuesday, August 3, 1858",Cause of Death: Stabbed,Stabbed,1858-08-03,1858,FALSE,Campbell County Sheriff's Office, TN
Patrolman George Coulter,"Louisville Police Department, KY","EOW: Tuesday, August 17, 1858",Cause of Death: Gunfire,Gunfire,1858-08-17,1858,FALSE,Louisville Police Department, KY
Police Officer Benjamin Benton,"Baltimore City Police Department, MD","EOW: Wednesday, September 22, 1858",Cause of Death: Gunfire,Gunfire,1858-09-22,1858,FALSE,Baltimore City Police Department, MD
Police Officer William Cooke,"Salt Lake City Police Department, UT","EOW: Monday, October 18, 1858",Cause of Death: Gunfire,Gunfire,1858-10-18,1858,FALSE,Salt Lake City Police Department, UT
Police Officer Robert M. Rigdon,"Baltimore City Police Department, MD","EOW: Monday, November 8, 1858",Cause of Death: Gunfire,Gunfire,1858-11-08,1858,FALSE,Baltimore City Police Department, MD
Policeman Joel N. McDonald,"Columbia Police Department, CA","EOW: Friday, November 26, 1858",Cause of Death: Gunfire,Gunfire,1858-11-26,1858,FALSE,Columbia Police Department, CA
Constable John Leary,"Columbia Police Department, CA","EOW: Monday, November 29, 1858",Cause of Death: Gunfire,Gunfire,1858-11-29,1858,FALSE,Columbia Police Department, CA
Constable David Welch,"Henderson County Sheriff's Office, IL","EOW: Tuesday, January 11, 1859",Cause of Death: Gunfire,Gunfire,1859-01-11,1859,FALSE,Henderson County Sheriff's Office, IL
Deputy Sheriff George W. Martin,"Placer County Sheriff's Department, CA","EOW: Monday, July 11, 1859",Cause of Death: Gunfire,Gunfire,1859-07-11,1859,FALSE,Placer County Sheriff's Department, CA
Jailer Robert L. Johnson,"Cameron County Sheriff's Office, TX","EOW: Wednesday, September 28, 1859",Cause of Death: Gunfire,Gunfire,1859-09-28,1859,FALSE,Cameron County Sheriff's Office, TX
Constable George Morris,"Cameron County Constable's Office - Precinct 2, TX","EOW: Wednesday, September 28, 1859",Cause of Death: Gunfire,Gunfire,1859-09-28,1859,FALSE,Cameron County Constable's Office - Precinct 2, TX
Private John Fox,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire,Gunfire,1859-11-16,1859,FALSE,Texas Rangers, TX
Private Thomas Grier,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire,Gunfire,1859-11-16,1859,FALSE,Texas Rangers, TX
Private William McKay,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire,Gunfire,1859-11-16,1859,FALSE,Texas Rangers, TX
Private Nicholas R. Milett,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire,Gunfire,1859-11-16,1859,FALSE,Texas Rangers, TX
Private David Herman,"Texas Rangers, TX","EOW: Wednesday, December 14, 1859",Cause of Death: Gunfire,Gunfire,1859-12-14,1859,FALSE,Texas Rangers, TX
Patrolman John Steward,"New York Metropolitan Police Force, NY","EOW: Tuesday, December 20, 1859",Cause of Death: Structure collapse,Structure collapse,1859-12-20,1859,FALSE,New York Metropolitan Police Force, NY
Private Fountain B. Woodruff,"Texas Rangers, TX","EOW: Saturday, February 4, 1860",Cause of Death: Gunfire,Gunfire,1860-02-04,1860,FALSE,Texas Rangers, TX
Sheriff Thomas S. Milligan,"Mason County Sheriff's Department, TX","EOW: Sunday, February 19, 1860",Cause of Death: Assault,Assault,1860-02-19,1860,FALSE,Mason County Sheriff's Department, TX
Officer C. Edward Foley,"Houston Police Department, TX","EOW: Saturday, March 10, 1860",Cause of Death: Gunfire,Gunfire,1860-03-10,1860,FALSE,Houston Police Department, TX
Deputy U.S. Marshal Leonard Armes,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, April 20, 1860",Cause of Death: Gunfire,Gunfire,1860-04-20,1860,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman W. Stith Tucker,"Memphis Police Department, TN","EOW: Saturday, May 5, 1860",Cause of Death: Stabbed,Stabbed,1860-05-05,1860,FALSE,Memphis Police Department, TN
Police Officer Levi Washington Davis,"Springville Police Department, UT","EOW: Monday, May 7, 1860",Cause of Death: Gunfire,Gunfire,1860-05-07,1860,FALSE,Springville Police Department, UT
Patrol Officer William Loughrey,"Cambridge Police Department, MA","EOW: Tuesday, June 26, 1860",Cause of Death: Stabbed,Stabbed,1860-06-26,1860,FALSE,Cambridge Police Department, MA
Deputy Sheriff Thomas Shain,"Collin County Sheriff's Office, TX","EOW: Monday, July 2, 1860",Cause of Death: Gunfire,Gunfire,1860-07-02,1860,FALSE,Collin County Sheriff's Office, TX
Constable Miles Huntsman,"Amador County Constable's Office, CA","EOW: Thursday, July 26, 1860",Cause of Death: Gunfire,Gunfire,1860-07-26,1860,FALSE,Amador County Constable's Office, CA
Deputy Thomas Nolan,"Nueces County Sheriff's Office, TX","EOW: Wednesday, August 15, 1860",Cause of Death: Gunfire,Gunfire,1860-08-15,1860,FALSE,Nueces County Sheriff's Office, TX
Officer Claborne Long,"Cincinnati Police Department, OH","EOW: Wednesday, January 9, 1861",Cause of Death: Stabbed,Stabbed,1861-01-09,1861,FALSE,Cincinnati Police Department, OH
Officer Daniel Hallam,"Cincinnati Police Department, OH","EOW: Thursday, January 10, 1861",Cause of Death: Stabbed,Stabbed,1861-01-10,1861,FALSE,Cincinnati Police Department, OH
Sheriff Jesse Sut Harris,"Brown County Sheriff's Department, TX","EOW: Thursday, June 6, 1861",Cause of Death: Gunfire,Gunfire,1861-06-06,1861,FALSE,Brown County Sheriff's Department, TX
Officer Patrick Nuttle,"Cincinnati Police Department, OH","EOW: Tuesday, June 11, 1861",Cause of Death: Stabbed,Stabbed,1861-06-11,1861,FALSE,Cincinnati Police Department, OH
Policeman Nehum M. Pratte,"St. Louis Metropolitan Police Department, MO","EOW: Monday, June 17, 1861",Cause of Death: Gunfire,Gunfire,1861-06-17,1861,FALSE,St. Louis Metropolitan Police Department, MO
Keeper Augustus T. Wright,"New York State Department of Correctional Services, NY","EOW: Thursday, July 11, 1861",Cause of Death: Assault,Assault,1861-07-11,1861,FALSE,New York State Department of Correctional Services, NY
Patrolman David Martin,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 6, 1861",Cause of Death: Stabbed,Stabbed,1861-08-06,1861,FALSE,New York Metropolitan Police Force, NY
Sheriff John B. York,"Tarrant County Sheriff's Department, TX","EOW: Saturday, August 24, 1861",Cause of Death: Stabbed,Stabbed,1861-08-24,1861,FALSE,Tarrant County Sheriff's Department, TX
Sheriff John L. Blackburn,"Carson County Sheriff's Office, NV","EOW: Thursday, November 28, 1861",Cause of Death: Stabbed,Stabbed,1861-11-28,1861,FALSE,Carson County Sheriff's Office, NV
Police Officer John C. Gilmore,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, December 24, 1861",Cause of Death: Gunfire,Gunfire,1861-12-24,1861,FALSE,St. Louis Metropolitan Police Department, MO
Patrolman John W. Causey,"Memphis Police Department, TN","EOW: Tuesday, December 31, 1861",Cause of Death: Stabbed,Stabbed,1861-12-31,1861,FALSE,Memphis Police Department, TN
Patrolman Ben S. Rust,"Louisville Police Department, KY","EOW: Thursday, January 16, 1862",Cause of Death: Gunfire,Gunfire,1862-01-16,1862,FALSE,Louisville Police Department, KY
Warden Daniel Webster,"Connecticut Department of Correction, CT","EOW: Thursday, March 27, 1862",Cause of Death: Stabbed,Stabbed,1862-03-27,1862,FALSE,Connecticut Department of Correction, CT
Sheriff N. F. Scott,"Mono County Sheriff's Office, CA","EOW: Saturday, April 5, 1862",Cause of Death: Gunfire,Gunfire,1862-04-05,1862,FALSE,Mono County Sheriff's Office, CA
Constable John Welch,"Evansville Police Department, IN","EOW: Monday, April 14, 1862",Cause of Death: Gunfire,Gunfire,1862-04-14,1862,FALSE,Evansville Police Department, IN
Patrolman Henry L. Williams,"New York Metropolitan Police Force, NY","EOW: Tuesday, October 14, 1862",Cause of Death: Gunfire,Gunfire,1862-10-14,1862,FALSE,New York Metropolitan Police Force, NY
Deputy Sheriff Martin Roohan,"Santa Clara County Sheriff's Office, CA","EOW: Thursday, October 23, 1862",Cause of Death: Stabbed,Stabbed,1862-10-23,1862,FALSE,Santa Clara County Sheriff's Office, CA
Sergeant John Sturdy,"St. Louis Metropolitan Police Department, MO","EOW: Friday, April 10, 1863",Cause of Death: Assault,Assault,1863-04-10,1863,FALSE,St. Louis Metropolitan Police Department, MO
Police Officer Dennis McMahon,"Virginia City Police Department, NV","EOW: Sunday, April 12, 1863",Cause of Death: Gunfire,Gunfire,1863-04-12,1863,FALSE,Virginia City Police Department, NV
Police Officer Thomas Reed,"Virginia City Police Department, NV","EOW: Sunday, April 12, 1863",Cause of Death: Gunfire,Gunfire,1863-04-12,1863,FALSE,Virginia City Police Department, NV
Warden Richard Tinker,"Maine Department of Corrections, ME","EOW: Thursday, May 14, 1863",Cause of Death: Stabbed,Stabbed,1863-05-14,1863,FALSE,Maine Department of Corrections, ME
Deputy Sheriff D. H. Dillingham,"Bannock County Sheriff's Department, ID","EOW: Monday, June 29, 1863",Cause of Death: Gunfire,Gunfire,1863-06-29,1863,FALSE,Bannock County Sheriff's Department, ID
Patrolman Edward Dippel,"New York Metropolitan Police Force, NY","EOW: Sunday, July 19, 1863",Cause of Death: Gunfire,Gunfire,1863-07-19,1863,FALSE,New York Metropolitan Police Force, NY
Patrolman Peter McIntyre,"New York Metropolitan Police Force, NY","EOW: Sunday, August 9, 1863",Cause of Death: Assault,Assault,1863-08-09,1863,FALSE,New York Metropolitan Police Force, NY
Officer John F. Baylis,"Wilmington Police Department, DE","EOW: Wednesday, September 9, 1863",Cause of Death: Gunfire,Gunfire,1863-09-09,1863,FALSE,Wilmington Police Department, DE
Sheriff William H. Tainter,"Mendocino County Sheriff's Office, CA","EOW: Friday, October 23, 1863",Cause of Death: Drowned,Drowned,1863-10-23,1863,FALSE,Mendocino County Sheriff's Office, CA
Patrolman John T. Van Buren,"New York Metropolitan Police Force, NY","EOW: Saturday, November 7, 1863",Cause of Death: Assault,Assault,1863-11-07,1863,FALSE,New York Metropolitan Police Force, NY
Inspector William Bird Goodell,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, December 16, 1863",Cause of Death: Drowned,Drowned,1863-12-16,1863,FALSE,United States Department of the Treasury - Customs Service, US
Deputy Collector James M. Anderson,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, December 16, 1863",Cause of Death: Drowned,Drowned,1863-12-16,1863,FALSE,United States Department of the Treasury - Customs Service, US
Patrolman John Starkey,"New York Metropolitan Police Force, NY","EOW: Wednesday, January 20, 1864",Cause of Death: Assault,Assault,1864-01-20,1864,FALSE,New York Metropolitan Police Force, NY
Patrolman Austin H. Easterbrook,"New York Metropolitan Police Force, NY","EOW: Saturday, February 6, 1864",Cause of Death: Animal related,Animal related,1864-02-06,1864,FALSE,New York Metropolitan Police Force, NY
Special Agent Garrett W. Freer,"United States Army Criminal Investigation Division, US","EOW: Monday, May 2, 1864",Cause of Death: Gunfire,Gunfire,1864-05-02,1864,FALSE,United States Army Criminal Investigation Division, US
Deputy Warden Joseph T. Clark,"Illinois Department of Corrections, IL","EOW: Sunday, May 8, 1864",Cause of Death: Assault,Assault,1864-05-08,1864,FALSE,Illinois Department of Corrections, IL
Patrolman George W. Duryea,"New York Metropolitan Police Force, NY","EOW: Monday, May 16, 1864",Cause of Death: Gunfire,Gunfire,1864-05-16,1864,FALSE,New York Metropolitan Police Force, NY
Deputy Sheriff Andrew Kriss,"San Diego County Sheriff's Department, CA","EOW: Wednesday, May 25, 1864",Cause of Death: Gunfire,Gunfire,1864-05-25,1864,FALSE,San Diego County Sheriff's Department, CA
Deputy Joseph Staples,"El Dorado County Sheriff's Department, CA","EOW: Friday, July 1, 1864",Cause of Death: Gunfire,Gunfire,1864-07-01,1864,FALSE,El Dorado County Sheriff's Department, CA
Patrolman John J. O'Brien,"New York Metropolitan Police Force, NY","EOW: Thursday, August 25, 1864",Cause of Death: Gunfire,Gunfire,1864-08-25,1864,FALSE,New York Metropolitan Police Force, NY
Deputy Marshal Charles Ring,"Saginaw Police Department, MI","EOW: Wednesday, September 14, 1864",Cause of Death: Gunfire,Gunfire,1864-09-14,1864,FALSE,Saginaw Police Department, MI
Sheriff Harvey Staten Cox,"Young County Sheriff's Office, TX","EOW: Thursday, September 15, 1864",Cause of Death: Assault,Assault,1864-09-15,1864,FALSE,Young County Sheriff's Office, TX
Sheriff Robert Carmen,"Chariton County Sheriff's Department, MO","EOW: Tuesday, September 20, 1864",Cause of Death: Gunfire,Gunfire,1864-09-20,1864,FALSE,Chariton County Sheriff's Department, MO
Special Agent Josiah M. Woodruff,"United States Army Criminal Investigation Division, US","EOW: Saturday, October 1, 1864",Cause of Death: Gunfire,Gunfire,1864-10-01,1864,FALSE,United States Army Criminal Investigation Division, US
Deputy Provost Marshal John L. Bashore,"United States Army Criminal Investigation Division, US","EOW: Saturday, October 1, 1864",Cause of Death: Gunfire,Gunfire,1864-10-01,1864,FALSE,United States Army Criminal Investigation Division, US
Patrolman Charles Curren,"New York Metropolitan Police Force, NY","EOW: Thursday, October 6, 1864",Cause of Death: Gunfire,Gunfire,1864-10-06,1864,FALSE,New York Metropolitan Police Force, NY
Special Agent Cyrus Butler,"United States Army Criminal Investigation Division, US","EOW: Monday, October 31, 1864",Cause of Death: Gunfire,Gunfire,1864-10-31,1864,FALSE,United States Army Criminal Investigation Division, US
Patrolman Joseph Nulett,"New York Metropolitan Police Force, NY","EOW: Monday, November 7, 1864",Cause of Death: Gunfire,Gunfire,1864-11-07,1864,FALSE,New York Metropolitan Police Force, NY
Sheriff Matthew Nolan,"Nueces County Sheriff's Office, TX","EOW: Thursday, December 22, 1864",Cause of Death: Gunfire,Gunfire,1864-12-22,1864,FALSE,Nueces County Sheriff's Office, TX
